miRNA,Gene
hsa-miR-125a-3p,MYC
hsa-miR-125a-5p,MYC
hsa-miR-1304-5p,MYC
hsa-miR-135a-5p,MYC
hsa-miR-135b-5p,MYC
hsa-miR-145-5p,MYC
hsa-miR-148a-3p,MYC
hsa-miR-151a-5p,MYC
hsa-miR-155-5p,MYC
hsa-miR-16-5p,MYC
hsa-miR-17-5p,MYC
hsa-miR-1827,MYC
hsa-miR-184,MYC
hsa-miR-186-5p,MYC
hsa-miR-196a-5p,MYC
hsa-miR-196b-5p,MYC
hsa-miR-19a-3p,MYC
hsa-miR-20a-5p,MYC
hsa-miR-212-3p,MYC
hsa-miR-21-5p,MYC
hsa-miR-222-3p,MYC
hsa-miR-23a-3p,MYC
hsa-miR-24-3p,MYC
hsa-miR-25-3p,MYC
hsa-miR-2682-5p,MYC
hsa-miR-26a-5p,MYC
hsa-miR-302a-5p,MYC
hsa-miR-30a-3p,MYC
hsa-miR-30c-5p,MYC
hsa-miR-30d-5p,MYC
hsa-miR-30e-3p,MYC
hsa-miR-320a,MYC
hsa-miR-320b,MYC
hsa-miR-323a-3p,MYC
hsa-miR-324-3p,MYC
hsa-miR-335-5p,MYC
hsa-miR-33a-5p,MYC
hsa-miR-33b-5p,MYC
hsa-miR-34a-5p,MYC
hsa-miR-34b-3p,MYC
hsa-miR-34c-5p,MYC
hsa-miR-373-3p,MYC
hsa-miR-375,MYC
hsa-miR-423-5p,MYC
hsa-miR-429,MYC
hsa-miR-449a,MYC
hsa-miR-449c-5p,MYC
hsa-miR-451a,MYC
hsa-miR-455-3p,MYC
hsa-miR-4647,MYC
hsa-miR-487b-3p,MYC
hsa-miR-494-3p,MYC
hsa-miR-516a-5p,MYC
hsa-miR-744-5p,MYC
hsa-miR-7-5p,MYC
hsa-miR-92a-1-5p,MYC
hsa-miR-92a-3p,MYC
hsa-miR-92b-3p,MYC
hsa-miR-93-5p,MYC
hsa-miR-940,MYC
hsa-miR-98-5p,MYC
